,,,,,,,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
YOA_2022,623,6107,742,BBR Services Int (Exc PE),Open Market,USD,External Brokerage,184,19,8,17,62,0,83,1,33,33,349,274
YOA_2022,623,6107,742,BBR Services Int (Exc PE),Open Market,USD,Gross Gross Premium,"-2,280",-239,-95,-213,-772,0,"-1,031",-9,-404,-407,"-4,319","-3,399"
YOA_2022,623,6107,744,TMB LargeRisk Int InfoSec,Delegated,EUR,Gross Net Premium,-585,0,0,0,0,0,0,0,0,0,0,0
YOA_2022,623,6107,744,TMB LargeRisk Int InfoSec,Delegated,EUR,External Brokerage,206,0,0,0,0,0,0,0,0,0,0,0
YOA_2022,623,6107,744,TMB LargeRisk Int InfoSec,Delegated,EUR,Gross Gross Premium,-791,0,0,0,0,0,0,0,0,0,0,0
YOA_2022,623,6107,744,TMB LargeRisk Int InfoSec,Delegated,CAD,Gross Net Premium,0,0,0,0,0,0,0,0,0,0,"-4,620",0
YOA_2022,623,6107,744,TMB LargeRisk Int InfoSec,Delegated,CAD,External Brokerage,0,0,0,0,0,0,0,0,0,0,"1,623",0
YOA_2022,623,6107,744,TMB LargeRisk Int InfoSec,Delegated,CAD,Gross Gross Premium,0,0,0,0,0,0,0,0,0,0,"-6,243",0
YOA_2022,623,6107,744,TMB LargeRisk Int InfoSec,Delegated,USD,Gross Net Premium,"-43,711",0,0,0,0,0,"-4,050",0,0,0,0,"-6,043"
YOA_2022,623,6107,744,TMB LargeRisk Int InfoSec,Delegated,USD,External Brokerage,"15,358",0,0,0,0,0,"1,423",0,0,0,0,"2,123"
YOA_2022,623,6107,744,TMB LargeRisk Int InfoSec,Delegated,USD,Gross Gross Premium,"-59,069",0,0,0,0,0,"-5,473",0,0,0,0,"-8,167"
YOA_2022,623,6107,744,TMB LargeRisk Int InfoSec,Open Market,GBP,Gross Net Premium,"-11,696","-11,558","-8,585","-20,701","-15,571","-10,545","-27,818","-5,481","-35,563","-6,346","-32,980","-12,984"
YOA_2022,623,6107,744,TMB LargeRisk Int InfoSec,Open Market,GBP,External Brokerage,"1,294","1,279",950,"2,291","1,723","1,167","3,079",607,"3,936",702,"3,650","1,437"
YOA_2022,623,6107,744,TMB LargeRisk Int InfoSec,Open Market,GBP,Gross Gross Premium,"-12,991","-12,837","-9,535","-22,992","-17,294","-11,712","-30,896","-6,088","-39,499","-7,048","-36,630","-14,421"
YOA_2022,623,6107,744,TMB LargeRisk Int InfoSec,Open Market,EUR,Gross Net Premium,"-25,712",0,"-1,125","-48,592",0,"-20,451","-21,014","-1,980",-428,"-14,527","-24,857","-8,085"
YOA_2022,623,6107,744,TMB LargeRisk Int InfoSec,Open Market,EUR,External Brokerage,"2,846",0,125,"5,378",0,"2,263","2,326",219,47,"1,608","2,751",895
YOA_2022,623,6107,744,TMB LargeRisk Int InfoSec,Open Market,EUR,Gross Gross Premium,"-28,558",0,"-1,250","-53,969",0,"-22,715","-23,340","-2,199",-475,"-16,134","-27,608","-8,979"
YOA_2022,623,6107,744,TMB LargeRisk Int InfoSec,Open Market,CAD,Gross Net Premium,"-11,323","-6,314","-5,391","-18,456","-23,011","-8,864","-29,808","-1,800","-39,445","-13,718","-19,241","-17,805"
